City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Okakarara,NA,-20.5833,17.4333,51.91,41,0,4.9,clear sky
79,Port Moresby,PG,-9.4431,147.1797,75.16,87,99,16.28,overcast clouds
80,Salalah,OM,17.0151,54.0924,78.03,84,100,7.31,overcast clouds
81,Sola,VU,-13.8833,167.55,81.05,64,12,12.06,few clouds
82,Imbituba,BR,-28.24,-48.6703,59.09,83,19,3.0,few clouds
83,Hami,CN,42.8,93.45,75.7,34,81,18.37,broken clouds
84,Waiouru,NZ,-39.4833,175.6667,48.09,70,100,5.7,overcast clouds
85,Dikson,RU,73.5069,80.5464,44.24,73,100,7.0,overcast clouds
86,Aklavik,CA,68.2191,-135.0107,45.86,69,97,22.06,overcast clouds
87,Tiksi,RU,71.6872,128.8694,37.62,94,99,5.91,overcast clouds
88,Hudson Bay,CA,52.85,-102.3842,81.75,50,20,11.95,few clouds
89,Beringovskiy,RU,63.05,179.3167,50.38,85,83,8.01,broken clouds
90,Vaini,TO,-21.2,-175.2,77.04,86,1,19.55,clear sky
91,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.97,78,56,11.48,broken clouds
92,Tasiilaq,GL,65.6145,-37.6368,39.36,79,17,4.59,few clouds
93,The Pas,CA,53.8251,-101.2541,81.91,45,0,12.86,clear sky
94,Chegdomyn,RU,51.1167,133.0167,69.67,71,45,2.17,scattered clouds
95,Goderich,CA,43.7501,-81.7165,68.92,70,55,8.23,broken clouds
96,West Odessa,US,31.8424,-102.4988,95.86,32,75,19.57,haze
97,San Quintin,MX,30.4833,-115.95,70.63,70,77,16.4,broken clouds
98,Requena,ES,39.4883,-1.1004,71.8,33,75,3.18,broken clouds
99,Batesville,US,35.7698,-91.641,95.07,40,0,1.99,haze
100,Guerrero Negro,MX,27.9769,-114.0611,73.38,62,21,18.25,few clouds
101,Pevek,RU,69.7008,170.3133,36.82,86,99,8.7,overcast clouds
102,Yeppoon,AU,-23.1333,150.7333,53.38,61,0,14.54,clear sky
103,Iskateley,RU,67.6803,53.1512,61.25,94,81,8.88,broken clouds
104,Kavieng,PG,-2.5744,150.7967,82.26,75,100,5.75,overcast clouds
105,Lorengau,PG,-2.0226,147.2712,83.39,76,100,6.82,overcast clouds
106,Uruzgan,AF,32.8333,66.0,75.49,15,0,6.13,clear sky
107,Mackay,AU,-21.15,149.2,58.68,60,0,12.93,clear sky
108,Totness,SR,5.8833,-56.3167,77.49,90,100,9.73,overcast clouds
109,Cidreira,BR,-30.1811,-50.2056,57.27,77,0,20.0,clear sky
110,Glazov,RU,58.1394,52.6584,67.33,93,92,2.3,light rain
111,Hofn,IS,64.2539,-15.2082,50.72,83,46,8.28,scattered clouds
112,Tilichiki,RU,60.4667,166.1,69.98,64,17,4.59,few clouds
113,Poum,NC,-20.2333,164.0167,74.25,63,98,14.72,overcast clouds
114,Esperance,AU,-33.8667,121.9,59.97,42,65,23.64,broken clouds
115,Arak,IR,34.0917,49.6892,72.57,16,0,3.98,clear sky
116,Selma,US,36.5708,-119.6121,102.63,22,0,5.75,clear sky
117,Kieta,PG,-6.2167,155.6333,79.07,80,96,2.15,overcast clouds
118,Kutum,SD,14.2,24.6667,73.35,72,43,9.46,scattered clouds
119,Rio Gallegos,AR,-51.6226,-69.2181,37.33,91,100,15.99,light rain
120,Ahipara,NZ,-35.1667,173.1667,55.42,96,100,5.41,light rain
121,Chokurdakh,RU,70.6333,147.9167,49.26,56,48,10.87,scattered clouds
122,Mogzon,RU,51.7435,111.9606,62.71,58,20,2.44,few clouds
123,Meulaboh,ID,4.1363,96.1285,76.21,90,81,6.73,broken clouds
124,Kapaa,US,22.0752,-159.319,84.18,76,7,7.0,clear sky
125,East London,ZA,-33.0153,27.9116,58.71,75,0,7.38,clear sky
126,Nanchang,CN,28.6833,115.8833,84.42,71,100,5.03,overcast clouds
127,Port Alfred,ZA,-33.5906,26.891,56.41,80,0,11.77,clear sky
128,Belaya Gora,RU,68.5333,146.4167,55.9,66,60,8.21,broken clouds
129,Chabahar,IR,25.2919,60.643,86.74,80,100,5.79,overcast clouds
130,Tiznit,MA,29.5833,-9.5,71.91,62,43,1.77,scattered clouds
131,Paramonga,PE,-10.6667,-77.8333,61.88,82,30,11.83,scattered clouds
132,Port Hardy,CA,50.6996,-127.4199,60.96,76,67,8.75,broken clouds
133,Bilibino,RU,68.0546,166.4372,62.76,44,99,4.38,overcast clouds
134,Isangel,VU,-19.55,169.2667,79.83,82,8,16.26,light rain
