City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
164,Deyang,CN,75.6,overcast clouds,31.1302,104.382,Milletholly Resort Hotel
166,Thompson,CA,84.43,clear sky,55.7435,-97.8558,Burntwood Hotel
169,Ylivieska,FI,63.32,overcast clouds,64.0833,24.55,hotel Käenpesä
170,Tura,IN,74.88,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
171,Nara,JP,79.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
173,Tuskegee,US,83.08,overcast clouds,32.424,-85.6916,Macon Motel
174,Palmas,BR,80.47,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
175,Churachandpur,IN,66.24,clear sky,24.3333,93.6667,M.Pumkhanjam' INN
178,Mwanza,TZ,69.08,broken clouds,-2.5167,32.9,Gold Crest Hotel
179,Kashi,CN,71.42,overcast clouds,39.4547,75.9797,帕米尔青年旅舍
180,Sinalunga,IT,70.75,clear sky,43.2152,11.7495,I Girasoli
181,Calamar,CO,80.33,overcast clouds,10.2511,-74.9146,Hostal Katyalex
182,Yerkoy,TR,64.0,clear sky,39.6381,34.4672,Yerköy Öğretmenevi
184,Tucurui,BR,78.12,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
185,Galle,LK,78.82,few clouds,6.0367,80.217,Amangalla
187,Manggar,ID,79.77,overcast clouds,-2.8833,108.2667,Guest Hotel
189,College,US,67.21,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
190,Fairbanks,US,67.23,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
191,Arona,ES,70.92,few clouds,28.0996,-16.681,Paradise Court
192,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
193,Tavira,PT,82.27,scattered clouds,37.1273,-7.6486,Hotel Maria Nova
194,Hilo,US,80.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
195,La Peca,PE,74.53,scattered clouds,-5.6111,-78.435,Hospedaje San Miguelito
196,Brighton,GB,67.15,overcast clouds,50.8284,-0.1395,"Holiday Inn Brighton - Seafront, an IHG Hotel"
197,Pachino,IT,75.13,clear sky,36.7186,15.0907,Il Veliero
198,Sao Filipe,CV,75.22,scattered clouds,14.8961,-24.4956,Hotel Xaguate
199,Cangzhou,CN,79.34,few clouds,38.3167,116.8667,Jinji Express Hotel
200,Boca Do Acre,BR,81.57,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
202,Zhoucheng,CN,79.2,few clouds,35.9122,116.3117,Yingbin Restaurant
205,Carnarvon,AU,66.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
206,Anderson,US,80.26,clear sky,34.5334,-82.6499,The Bleckley Inn
208,Moroni,KM,76.33,broken clouds,-11.7022,43.2551,Hotel Les Arcades
210,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
212,Tambopata,PE,76.05,broken clouds,-12.7333,-69.1833,Enashawa Lodge
213,Lata,PT,80.08,broken clouds,40.1629,-8.3327,Casa Maquia
217,Jamestown,US,72.05,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
218,Gorodishche,RU,68.88,broken clouds,48.8045,44.4744,Inn Delovoy Vizit
220,Fortuna,US,68.86,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
221,Quatre Cocos,MU,66.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
223,Biltine,TD,81.03,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
224,Narasannapeta,IN,77.16,overcast clouds,18.4167,84.05,AVK events and catering
225,Namatanai,PG,81.88,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
226,Kanker,IN,74.16,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
